company_name	contact_url	emails_found
Manutan	https://www.manutan.com/fr/accueil/contact	
Danone	https://www.danone.com/contact-us.html	
Renault Group	https://www.renaultgroup.com/contact/	contact@renaultgroup.com,nom@domaine.com
Veolia	https://www.veolia.com/fr/contact	
XEFI	https://www.xefi.com/contact	contact@xefi.com,dpo@xefi.fr
La Poste Groupe	https://www.lapostegroupe.com/fr/contactez-nous	
SNCF Group	https://www.sncf.com/fr/groupe/contact	
Orange	https://www.orange.com/fr/contact	
Docaposte	https://www.docaposte.com/contact	m-dupond@gmail.com
Teleperformance	https://www.teleperformance.com/en-us/contact-us	
Societe Generale	https://www.societegenerale.com/en/contact-us	Marion.Hoffmann@socgen.com,achat-contrats@socgen.com,angelique.thepot@socgen.com,archives.historiques@socgen.com,aurelie.rosilio@sgcib.com,carlos.cobo@sgcib.com,contact.facture@socgen.com,helene.plassais@socgen.com,investor.relations@socgen.com,jennifer.harrison@socgen.com,julie.ricard@socgen.com,kimon.kalamboussis@socgen.com,lefilrh@socgen.com,marianne.champarnaud@sgcib.com,marion.hoffmann@socgen.com,mecenat.artistique@socgen.com,pdf.facture@socgen.com
BNP Paribas	https://group.bnpparibas/en/group/contact-us	
AXA	https://www.axa.com/en/contact-us	
Credit Agricole CIB	https://www.ca-cib.com/contact-us	jon.doe@email.com
Carrefour	https://www.carrefour.com/en/contact-us	
VINCI	https://www.vinci.com/vinci.nsf/en/contact/pages/index.htm	
ENGIE (Tractebel)	https://www.engie.com/en/contact-us	
Michelin	https://www.michelin.com/en/contact-us/	a11y@michelin.com,actionnaires-individuels@michelin.com,compte-fonction.accueil-michelin-competition@michelin.com,compte-fonction.heritage@michelin.com,groupe-michelin.service-de-presse@michelin.com,investor-relations@michelin.com,john@doe.com,privacy.fr@michelin.com
LCL	https://www.lcl.fr/contact	
Thales	https://www.thalesgroup.com/en/contact-us	
Keolis	https://www.keolis.com/en/contact	
Saint-Gobain	https://www.saint-gobain.com/en/contact-us	
