company_name,contact_email,email_quality,quality_reason,website,confirmed_url,status
13 Productions,contact@13prods.fr,medium,generic mailbox,https://www.13prods.fr,https://www.13prods.fr/,mailing_ready
7info,info@7info.ru,medium,generic mailbox,https://7info.ru,https://7info.ru,mailing_ready
A1 Agency,info@a1agency.ch,medium,generic mailbox,http://www.a1agency.ch,http://www.a1agency.ch/contact,mailing_ready
Academixer,info@academixer.com,medium,generic mailbox,https://www.academixer.com,https://www.academixer.com/,mailing_ready
Accent Hotels,info@accenthotels.com,medium,generic mailbox,https://accenthotels.com,https://accenthotels.com/en/contact,mailing_ready
Action Audio,contact@action-audio.com,medium,generic mailbox,https://action-audio.com,https://action-audio.com/,mailing_ready
Adult Talent Managers LA,info@atmla.com,medium,generic mailbox,https://atmla.com,https://atmla.com/,mailing_ready
ae group,info@ae-group.de,medium,generic mailbox,https://www.ae-group.de,https://www.ae-group.de/de/,mailing_ready
Agenzia Giornalistica Italia,info@agi.it,medium,generic mailbox,https://www.agi.it,https://www.agi.it,mailing_ready
Air Alliance Express,info@air-alliance.de,medium,generic mailbox,https://air-alliance.de,https://air-alliance.de/,mailing_ready
Aksari Resort Ubud,info@aksariubud.com,medium,generic mailbox,https://www.aksariubud.com,https://www.aksariubud.com,mailing_ready
Alam Kulkul Boutique Resort,info@alamkulkul.com,medium,generic mailbox,http://alamkulkul.com,http://alamkulkul.com,mailing_ready
Alde Gott,info@aldegott.de,medium,generic mailbox,https://www.aldegott.de,https://www.aldegott.de/,mailing_ready
Altenauer Brauerei,info@altenauer-brauerei.de,medium,generic mailbox,https://altenauer-brauerei.de,https://altenauer-brauerei.de,mailing_ready
Alter Ego Media,info@alteregomedia.org,medium,generic mailbox,https://www.alteregomedia.org,https://www.alteregomedia.org,mailing_ready
Amarea Resort Ubud,info@amareaubud.com,medium,generic mailbox,https://www.amareaubud.com,https://www.amareaubud.com,mailing_ready
Amasus Shipping,info@amasus.nl,medium,generic mailbox,https://www.amasus.nl,https://www.amasus.nl/,mailing_ready
Ambreus,info@ambreus.be,medium,generic mailbox,https://www.ambreus.be,https://www.ambreus.be/,mailing_ready
Ambulanz Mobile,info@ambulanzmobile.de,medium,generic mailbox,https://www.ambulanzmobile.de,https://www.ambulanzmobile.de/,mailing_ready
Ameriabank,info@ameriabank.am,medium,generic mailbox,https://ameriabank.am,https://ameriabank.am/contact-us,mailing_ready
America’s Kids,info@americaskids.com,medium,generic mailbox,https://www.americaskids.com,https://www.americaskids.com/,mailing_ready
Angeln-Bahn,info@angelner-dampfeisenbahn.de,medium,generic mailbox,http://www.angelner-dampfeisenbahn.de,http://www.angelner-dampfeisenbahn.de/,mailing_ready
Anthill Studios,info@anthillstudios.com,medium,generic mailbox,https://www.anthillstudios.com,https://www.anthillstudios.com/contact,mailing_ready
Aqualand Köln,info@aqualand.de,medium,generic mailbox,https://aqualand.de,https://aqualand.de,mailing_ready
AquaMagis Plettenberg,info@aquamagis.de,medium,generic mailbox,https://www.aquamagis.de,https://www.aquamagis.de/contact,mailing_ready
Arholma Nord,info@arholmanord.se,medium,generic mailbox,https://arholmanord.se,https://arholmanord.se/boende/,mailing_ready
Armenia Airways,info@armeniaairways.am,medium,generic mailbox,https://armeniaairways.am,https://armeniaairways.am,mailing_ready
Art Bar,info@artbar.com,medium,generic mailbox,https://www.artbar.com,https://www.artbar.com/,mailing_ready
Arthur Bryant's,contact@arthurbryantsbbq.com,medium,generic mailbox,http://www.arthurbryantsbbq.com,http://www.arthurbryantsbbq.com,mailing_ready
Astera Villa Canggu,info@asteracanggu.com,medium,generic mailbox,https://www.asteracanggu.com,https://www.asteracanggu.com,mailing_ready
AT-Prod,info@at-prod.com,medium,generic mailbox,https://at-prod.com,https://at-prod.com/contact,mailing_ready
Atomium,info@atomium.be,medium,generic mailbox,https://atomium.be,https://atomium.be/,mailing_ready
Aurora Productions,info@auroraprod.com,medium,generic mailbox,https://auroraprod.com,https://auroraprod.com/contact,mailing_ready
AutoLPGas,info@lpgauto.ge,medium,generic mailbox,https://lpgauto.ge,https://lpgauto.ge/contact,mailing_ready
Auvergne-Rhône-Alpes Cinéma,contact@auvergnerhonealpes-cinema.fr,medium,generic mailbox,http://www.auvergnerhonealpes-cinema.fr,http://www.auvergnerhonealpes-cinema.fr/,mailing_ready
AVU,info@avu.de,medium,generic mailbox,https://www.avu.de,https://www.avu.de/,mailing_ready
