company_name,website,contact_url,contact_email,country,verified_on_url,signal_source_url,signal_title,signal_summary,priority_score,target_segment,sector,lead_status
13 Productions,https://www.13prods.fr,https://www.13prods.fr/,contact@13prods.fr,France,https://www.13prods.fr/,http://www.wikidata.org/entity/Q78523517,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
Action Audio,https://action-audio.com,https://action-audio.com/,contact@action-audio.com,Unknown,https://action-audio.com/,http://www.wikidata.org/entity/Q110653577,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
Arthur Bryant's,http://www.arthurbryantsbbq.com,http://www.arthurbryantsbbq.com,contact@arthurbryantsbbq.com,United States,http://www.arthurbryantsbbq.com,http://www.wikidata.org/entity/Q4798120,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
As Talents,https://www.astalents.fr,https://www.astalents.fr/,contact@astalents.fr,France,https://www.astalents.fr/,http://www.wikidata.org/entity/Q111547599,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
Auvergne-Rhône-Alpes Cinéma,http://www.auvergnerhonealpes-cinema.fr,http://www.auvergnerhonealpes-cinema.fr/,contact@auvergnerhonealpes-cinema.fr,France,http://www.auvergnerhonealpes-cinema.fr/,http://www.wikidata.org/entity/Q3429960,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
BrainWorks,http://brainworks.tv,http://brainworks.tv/,contact@brainworks.tv,France,http://brainworks.tv/contact,http://www.wikidata.org/entity/Q121083183,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
Champagne Quatresols-Gauthier,http://www.champagne-quatresols-gauthier.com,http://www.champagne-quatresols-gauthier.com/,contact@champagne-quatresols-gauthier.com,France,http://www.champagne-quatresols-gauthier.com/,http://www.wikidata.org/entity/Q109480484,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
coopérative d'habitation des Moulins,https://www.cooperativedesmoulins.ch,https://www.cooperativedesmoulins.ch/,contact@cooperativedesmoulins.ch,Switzerland,https://www.cooperativedesmoulins.ch/contact-us,http://www.wikidata.org/entity/Q133284236,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
coopérative d’habitation du Chablais,https://www.cohacha.ch,https://www.cohacha.ch/,contact@cohacha.ch,Switzerland,https://www.cohacha.ch/,http://www.wikidata.org/entity/Q133054540,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
Federal Planning Bureau,https://www.plan.be,https://www.plan.be,contact@plan.be,Belgium,https://www.plan.be/contact,http://www.wikidata.org/entity/Q2181235,Official email listed publicly and verified on website,Email from Wikidata and confirmed by direct match on website page.,66,SMB and Mid-market,Professional services and software,new
